"","Cell_line","Histology","TCGA_classification","CCLE_Name","Broad_ID"
"286","SNU1033","large_intestine","COADREAD","SNU1033_LARGE_INTESTINE","ACH-000286"
"287","NUDUL1","haematopoietic_and_lymphoid_tissue","DLBC","NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000287"
"288","BT549","breast","BRCA","BT549_BREAST","ACH-000288"
"289","SNU466","central_nervous_system","GBMLGG","SNU466_CENTRAL_NERVOUS_SYSTEM","ACH-000289"
"290","NCIH209","lung","SCLC","NCIH209_LUNG","ACH-000290"
"291","OV90","ovary","OV","OV90_OVARY","ACH-000291"
"292","NCIH841","lung","SCLC","NCIH841_LUNG","ACH-000292"
"293","KLE","endometrium","UCEC","KLE_ENDOMETRIUM","ACH-000293"
"294","NB4","haematopoietic_and_lymphoid_tissue","LAML","NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000294"
"295","EM2","haematopoietic_and_lymphoid_tissue","LCML","EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000295"
"296","OUMS23","large_intestine","COADREAD","OUMS23_LARGE_INTESTINE","ACH-000296"
"297","NCIH889","lung","SCLC","NCIH889_LUNG","ACH-000297"
"298","NCIH2029","lung","SCLC","NCIH2029_LUNG","ACH-000298"
"299","HNT34","haematopoietic_and_lymphoid_tissue","LAML","HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000299"
"300","SLR25","kidney","KIRC","SLR25_KIDNEY","ACH-000300"
"301","LAMA84","haematopoietic_and_lymphoid_tissue","LCML","LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000301"
"302","SNU1077","endometrium","UCEC","SNU1077_ENDOMETRIUM","ACH-000302"
"303","SNU5","stomach","STAD","SNU5_STOMACH","ACH-000303"
"304","WM115","skin","SKCM","WM115_SKIN","ACH-000304"
"305","ECGI10","oesophagus","ESCA","ECGI10_OESOPHAGUS","ACH-000305"
"306","HS688AT","fibroblast","SKCM","HS688AT_FIBROBLAST","ACH-000306"
"307","PK1","pancreas","PAAD","PK1_PANCREAS","ACH-000307"
"308","EFO21","ovary","OV","EFO21_OVARY","ACH-000308"
"309","SKLU1","lung","LUAD","SKLU1_LUNG","ACH-000309"
"310","IMR32","autonomic_ganglia","NB","IMR32_AUTONOMIC_GANGLIA","ACH-000310"
"311","NCIH2122","lung","LUAD","NCIH2122_LUNG","ACH-000311"
"312","SKNBE2","autonomic_ganglia","NB","SKNBE2_AUTONOMIC_GANGLIA","ACH-000312"
"313","KMRC3","kidney","KIRC","KMRC3_KIDNEY","ACH-000313"
"314","HCC2108","lung","LUAD","HCC2108_LUNG","ACH-000314"
"315","KARPAS422","haematopoietic_and_lymphoid_tissue","DLBC","KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000315"
"316","SNU886","liver","LIHC","SNU886_LIVER","ACH-000316"
"317","TUHR14TKB","kidney","KIRC","TUHR14TKB_KIDNEY","ACH-000317"
"318","TE10","oesophagus","ESCA","TE10_OESOPHAGUS","ACH-000318"
"319","MPP89","pleura","MESO","MPP89_PLEURA","ACH-000319"
"320","PSN1","pancreas","PAAD","PSN1_PANCREAS","ACH-000320"
"321","MOLM6","haematopoietic_and_lymphoid_tissue","LCML","MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000321"
"322","HT144","skin","SKCM","HT144_SKIN","ACH-000322"
"323","42MGBA","central_nervous_system","GBMLGG","42MGBA_CENTRAL_NERVOUS_SYSTEM","ACH-000323"
"324","JHOC5","ovary","OV","JHOC5_OVARY","ACH-000324"
"325","SNU620","stomach","STAD","SNU620_STOMACH","ACH-000325"
"326","JURLMK1","haematopoietic_and_lymphoid_tissue","LCML","JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000326"
"327","NCIH1395","lung","LUAD","NCIH1395_LUNG","ACH-000327"
"328","LN215","central_nervous_system","GBMLGG","LN215_CENTRAL_NERVOUS_SYSTEM","ACH-000328"
"329","CCFSTTG1","central_nervous_system","GBMLGG","CCFSTTG1_CENTRAL_NERVOUS_SYSTEM","ACH-000329"
"330","EFM19","breast","BRCA","EFM19_BREAST","ACH-000330"
"331","ISTMES2","pleura","MESO","ISTMES2_PLEURA","ACH-000331"
"332","YAPC","pancreas","PAAD","YAPC_PANCREAS","ACH-000332"
"333","JHOM2B","ovary","OV","JHOM2B_OVARY","ACH-000333"
"334","DB","haematopoietic_and_lymphoid_tissue","DLBC","DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000334"
"335","MSTO211H","pleura","MESO","MSTO211H_PLEURA","ACH-000335"
"336","OCIAML3","haematopoietic_and_lymphoid_tissue","LAML","OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000336"
"337","NCIH3122","lung","LUAD","NCIH3122_LUNG","ACH-000337"
"338","SR786","haematopoietic_and_lymphoid_tissue",NA,"SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000338"
"339","HCC461","lung","LUAD","HCC461_LUNG","ACH-000339"
"340","HS870T","fibroblast","SARC","HS870T_FIBROBLAST","ACH-000340"
"341","SKNFI","autonomic_ganglia","NB","SKNFI_AUTONOMIC_GANGLIA","ACH-000341"
"342","CL14","large_intestine","COADREAD","CL14_LARGE_INTESTINE","ACH-000342"
"343","NCIH522","lung","LUAD","NCIH522_LUNG","ACH-000343"
"344","SNU668","stomach","STAD","SNU668_STOMACH","ACH-000344"
"345","KPNRTBM1","autonomic_ganglia","NB","KPNRTBM1_AUTONOMIC_GANGLIA","ACH-000345"
"346","JVM3","haematopoietic_and_lymphoid_tissue","CLL","JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000346"
"347","QGP1","pancreas","PAAD","QGP1_PANCREAS","ACH-000347"
"348","RPMI7951","skin","SKCM","RPMI7951_SKIN","ACH-000348"
"349","HCC1500","breast","BRCA","HCC1500_BREAST","ACH-000349"
"350","COLO678","large_intestine","COADREAD","COLO678_LARGE_INTESTINE","ACH-000350"
"351","MKN1","stomach","STAD","MKN1_STOMACH","ACH-000351"
"352","HCC1428","breast","BRCA","HCC1428_BREAST","ACH-000352"
"353","TE15","oesophagus","ESCA","TE15_OESOPHAGUS","ACH-000353"
"354","CAPAN1","pancreas","PAAD","CAPAN1_PANCREAS","ACH-000354"
"355","NCIH82","lung","SCLC","NCIH82_LUNG","ACH-000355"
"356","MKN45","stomach","STAD","MKN45_STOMACH","ACH-000356"
"357","JEKO1","haematopoietic_and_lymphoid_tissue","DLBC","JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000357"
"358","NCIH69","lung","SCLC","NCIH69_LUNG","ACH-000358"
"359","MG63","bone","SARC","MG63_BONE","ACH-000359"
"360","NCIH508","large_intestine","COADREAD","NCIH508_LARGE_INTESTINE","ACH-000360"
"361","SKHEP1","liver","LIHC","SKHEP1_LIVER","ACH-000361"
"362","MOLM13","haematopoietic_and_lymphoid_tissue","LAML","MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000362"
"363","SKMM2","haematopoietic_and_lymphoid_tissue","MM","SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000363"
"364","U2OS","bone","SARC","U2OS_BONE","ACH-000364"
"365","SUDHL4","haematopoietic_and_lymphoid_tissue","DLBC","SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000365"
"366","SKNDZ","autonomic_ganglia","NB","SKNDZ_AUTONOMIC_GANGLIA","ACH-000366"
"367","NCIH226","lung","LUSC","NCIH226_LUNG","ACH-000367"
"368","SNU1105","central_nervous_system","GBMLGG","SNU1105_CENTRAL_NERVOUS_SYSTEM","ACH-000368"
"369","MOLM16","haematopoietic_and_lymphoid_tissue","LAML","MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000369"
"370","SNU626","central_nervous_system","GBMLGG","SNU626_CENTRAL_NERVOUS_SYSTEM","ACH-000370"
"371","RL","haematopoietic_and_lymphoid_tissue","DLBC","RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000371"
"372","P12ICHIKAWA","haematopoietic_and_lymphoid_tissue","ALL","P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000372"
"373","SKM1","haematopoietic_and_lymphoid_tissue","LAML","SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000373"
"374","HCC1143","breast","BRCA","HCC1143_BREAST","ACH-000374"
"375","G402","soft_tissue","SARC","G402_SOFT_TISSUE","ACH-000375"
"376","SF295","central_nervous_system","GBMLGG","SF295_CENTRAL_NERVOUS_SYSTEM","ACH-000376"
"377","SNU478","biliary_tract","CHOL","SNU478_BILIARY_TRACT","ACH-000377"
"378","NCIH647","lung","LUAD","NCIH647_LUNG","ACH-000378"
"379","NCIH1781","lung","LUAD","NCIH1781_LUNG","ACH-000379"
"380","KMS12BM","haematopoietic_and_lymphoid_tissue","MM","KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000380"
"381","T84","large_intestine","COADREAD","T84_LARGE_INTESTINE","ACH-000381"
"382","CORL24","lung","SCLC","CORL24_LUNG","ACH-000382"
"383","OE33","oesophagus","ESCA","OE33_OESOPHAGUS","ACH-000383"
"384","SW780","urinary_tract","BLCA","SW780_URINARY_TRACT","ACH-000384"
"385","SKRC20","kidney","KIRC","SKRC20_KIDNEY","ACH-000385"
"386","KG1","haematopoietic_and_lymphoid_tissue","LAML","KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000386"
"387","TF1","haematopoietic_and_lymphoid_tissue","LAML","TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000387"
"388","NUDHL1","haematopoietic_and_lymphoid_tissue","DLBC","NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000388"
"389","H4","central_nervous_system","GBMLGG","H4_CENTRAL_NERVOUS_SYSTEM","ACH-000389"
"390","LUDLU1","lung","LUSC","LUDLU1_LUNG","ACH-000390"
"391","MHHES1","bone","SARC","MHHES1_BONE","ACH-000391"
"392","CALU3","lung","LUAD","CALU3_LUNG","ACH-000392"
"393","HLF","liver","LIHC","HLF_LIVER","ACH-000393"
"394","NCIH2081","lung","SCLC","NCIH2081_LUNG","ACH-000394"
"395","NCIH520","lung","LUSC","NCIH520_LUNG","ACH-000395"
"396","J82","urinary_tract","BLCA","J82_URINARY_TRACT","ACH-000396"
"397","TEN","endometrium","UCEC","TEN_ENDOMETRIUM","ACH-000397"
"398","RI1","haematopoietic_and_lymphoid_tissue","DLBC","RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000398"
"399","NCIH2196","lung","SCLC","NCIH2196_LUNG","ACH-000399"
"400","SKCO1","large_intestine","COADREAD","SKCO1_LARGE_INTESTINE","ACH-000400"
"401","COLO800","skin","SKCM","COLO800_SKIN","ACH-000401"
"402","BL70","haematopoietic_and_lymphoid_tissue","DLBC","BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000402"
"403","NCIH747","large_intestine","COADREAD","NCIH747_LARGE_INTESTINE","ACH-000403"
"404","K029AX","skin","SKCM","K029AX_SKIN","ACH-000404"
"405","MEC1","haematopoietic_and_lymphoid_tissue","CLL","MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000405"
"406","U937","haematopoietic_and_lymphoid_tissue","DLBC","U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000406"
"407","SNU685","endometrium","UCEC","SNU685_ENDOMETRIUM","ACH-000407"
"408","TE5","oesophagus","ESCA","TE5_OESOPHAGUS","ACH-000408"
"409","OVSAHO","ovary","OV","OVSAHO_OVARY","ACH-000409"
"410","SAOS2","bone","SARC","SAOS2_BONE","ACH-000410"
"411","769P","kidney","KIRC","769P_KIDNEY","ACH-000411"
"412","SNU1197","large_intestine","COADREAD","SNU1197_LARGE_INTESTINE","ACH-000412"
"413","HS739T","fibroblast","BRCA","HS739T_FIBROBLAST","ACH-000413"
"414","NCIH1944","lung","LUAD","NCIH1944_LUNG","ACH-000414"
"415","BICR6","upper_aerodigestive_tract","HNSC","BICR6_UPPER_AERODIGESTIVE_TRACT","ACH-000415"
"416","NCIH838","lung","LUAD","NCIH838_LUNG","ACH-000416"
"417","PANC0813","pancreas","PAAD","PANC0813_PANCREAS","ACH-000417"
"418","SW1353","bone","SARC","SW1353_BONE","ACH-000418"
"419","KMS28BM","haematopoietic_and_lymphoid_tissue","MM","KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000419"
"420","SNU449","liver","LIHC","SNU449_LIVER","ACH-000420"
"421","SW837","large_intestine","COADREAD","SW837_LARGE_INTESTINE","ACH-000421"
"422","SNU475","liver","LIHC","SNU475_LIVER","ACH-000422"
"423","SKMEL3","skin","SKCM","SKMEL3_SKIN","ACH-000423"
"424","TC71","bone","SARC","TC71_BONE","ACH-000424"
"425","UACC62","skin","SKCM","UACC62_SKIN","ACH-000425"
"426","KMS20","haematopoietic_and_lymphoid_tissue","MM","KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000426"
"427","NCIN87","stomach","STAD","NCIN87_STOMACH","ACH-000427"
"428","UO31","kidney","KIRC","UO31_KIDNEY","ACH-000428"
"429","A704","kidney","KIRC","A704_KIDNEY","ACH-000429"
"430","TYKNU","ovary","OV","TYKNU_OVARY","ACH-000430"
"431","NCIH1694","lung","SCLC","NCIH1694_LUNG","ACH-000431"
"432","BV173","haematopoietic_and_lymphoid_tissue","LCML","BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000432"
"433","CAKI1","kidney","KIRC","CAKI1_KIDNEY","ACH-000433"
"434","NCIH1915","lung",NA,"NCIH1915_LUNG","ACH-000434"
"435","EFE184","endometrium","UCEC","EFE184_ENDOMETRIUM","ACH-000435"
"436","OCIMY7","haematopoietic_and_lymphoid_tissue","MM","OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000436"
"437","SW1088","central_nervous_system","GBMLGG","SW1088_CENTRAL_NERVOUS_SYSTEM","ACH-000437"
"438","LU65","lung",NA,"LU65_LUNG","ACH-000438"
"439","ME1","haematopoietic_and_lymphoid_tissue","LAML","ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000439"
"440","CA46","haematopoietic_and_lymphoid_tissue","DLBC","CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000440"
"441","SH4","skin","SKCM","SH4_SKIN","ACH-000441"
"442","RERFLCSQ1","lung","LUSC","RERFLCSQ1_LUNG","ACH-000442"
"443","OVKATE","ovary","OV","OVKATE_OVARY","ACH-000443"
"444","LU99","lung",NA,"LU99_LUNG","ACH-000444"
"445","KNS60","central_nervous_system","GBMLGG","KNS60_CENTRAL_NERVOUS_SYSTEM","ACH-000445"
"446","KPNSI9S","autonomic_ganglia","NB","KPNSI9S_AUTONOMIC_GANGLIA","ACH-000446"
"447","NCIH2228","lung","LUAD","NCIH2228_LUNG","ACH-000447"
"448","NCIH1666","lung","LUAD","NCIH1666_LUNG","ACH-000448"
"449","MESSA","soft_tissue","SARC","MESSA_SOFT_TISSUE","ACH-000449"
"450","MELHO","skin","SKCM","MELHO_SKIN","ACH-000450"
"451","NCIH2085","lung","LUAD","NCIH2085_LUNG","ACH-000451"
"452","TE8","oesophagus","ESCA","TE8_OESOPHAGUS","ACH-000452"
"453","MOLP2","haematopoietic_and_lymphoid_tissue","MM","MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000453"
"454","HCC95","lung","LUSC","HCC95_LUNG","ACH-000454"
"455","LN428","central_nervous_system","GBMLGG","LN428_CENTRAL_NERVOUS_SYSTEM","ACH-000455"
"456","BCPAP","thyroid","THCA","BCPAP_THYROID","ACH-000456"
"457","CAL54","kidney","KIRC","CAL54_KIDNEY","ACH-000457"
"458","CJM","skin","SKCM","CJM_SKIN","ACH-000458"
"459","TUHR10TKB","kidney","KIRC","TUHR10TKB_KIDNEY","ACH-000459"
"460","SNU8","ovary","OV","SNU8_OVARY","ACH-000460"
"461","SNU1196","biliary_tract","CHOL","SNU1196_BILIARY_TRACT","ACH-000461"
"462","NALM1","haematopoietic_and_lymphoid_tissue","LCML","NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000462"
"463","NCIH460","lung",NA,"NCIH460_LUNG","ACH-000463"
"464","CAS1","central_nervous_system","GBMLGG","CAS1_CENTRAL_NERVOUS_SYSTEM","ACH-000464"
"465","SKMEL1","skin","SKCM","SKMEL1_SKIN","ACH-000465"
"466","SNU216","stomach","STAD","SNU216_STOMACH","ACH-000466"
"467","HCC56","large_intestine","COADREAD","HCC56_LARGE_INTESTINE","ACH-000467"
"468","PK45H","pancreas","PAAD","PK45H_PANCREAS","ACH-000468"
"469","YH13","central_nervous_system","GBMLGG","YH13_CENTRAL_NERVOUS_SYSTEM","ACH-000469"
"470","SW1463","large_intestine","COADREAD","SW1463_LARGE_INTESTINE","ACH-000470"
"471","LI7","liver","LIHC","LI7_LIVER","ACH-000471"
"472","HSC2","upper_aerodigestive_tract","HNSC","HSC2_UPPER_AERODIGESTIVE_TRACT","ACH-000472"
"473","RT112","urinary_tract","BLCA","RT112_URINARY_TRACT","ACH-000473"
"474","HUH1","liver","LIHC","HUH1_LIVER","ACH-000475"
"475","JHH4","liver","LIHC","JHH4_LIVER","ACH-000476"
"476","MALME3M","skin","SKCM","MALME3M_SKIN","ACH-000477"
"477","SNU387","liver","LIHC","SNU387_LIVER","ACH-000478"
"478","KNS81","central_nervous_system","GBMLGG","KNS81_CENTRAL_NERVOUS_SYSTEM","ACH-000479"
"479","HUH7","liver","LIHC","HUH7_LIVER","ACH-000480"
"480","NCIH2170","lung","LUSC","NCIH2170_LUNG","ACH-000481"
"481","RERFLCKJ","lung","LUAD","RERFLCKJ_LUNG","ACH-000482"
"482","SNU182","liver","LIHC","SNU182_LIVER","ACH-000483"
"483","VMRCRCW","kidney","KIRC","VMRCRCW_KIDNEY","ACH-000484"
"484","GSU","stomach","STAD","GSU_STOMACH","ACH-000485"
"485","KU1919","urinary_tract","BLCA","KU1919_URINARY_TRACT","ACH-000486"
"486","F36P","haematopoietic_and_lymphoid_tissue","LAML","F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000487"
"487","TE11","oesophagus","ESCA","TE11_OESOPHAGUS","ACH-000488"
"488","SW1116","large_intestine","COADREAD","SW1116_LARGE_INTESTINE","ACH-000489"
"489","SF767","central_nervous_system","CESC","SF767_CENTRAL_NERVOUS_SYSTEM","ACH-000490"
"490","NCIH716","large_intestine","COADREAD","NCIH716_LARGE_INTESTINE","ACH-000491"
"491","MUTZ5","haematopoietic_and_lymphoid_tissue","ALL","MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000492"
"492","SNU423","liver","LIHC","SNU423_LIVER","ACH-000493"
"493","OELE","ovary","OV","OELE_OVARY","ACH-000494"
"494","TUHR4TKB","kidney","KIRC","TUHR4TKB_KIDNEY","ACH-000495"
"495","NCIH1792","lung","LUAD","NCIH1792_LUNG","ACH-000496"
"496","KO52","haematopoietic_and_lymphoid_tissue","LAML","KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000498"
"497","EW8","bone","SARC","EW8_BONE","ACH-000499"
"498","SNU46","upper_aerodigestive_tract","HNSC","SNU46_UPPER_AERODIGESTIVE_TRACT","ACH-000500"
"499","LS123","large_intestine","COADREAD","LS123_LARGE_INTESTINE","ACH-000501"
"500","TCCPAN2","pancreas","PAAD","TCCPAN2_PANCREAS","ACH-000502"
"501","BICR16","upper_aerodigestive_tract","HNSC","BICR16_UPPER_AERODIGESTIVE_TRACT","ACH-000503"
"502","SNB75","central_nervous_system","GBMLGG","SNB75_CENTRAL_NERVOUS_SYSTEM","ACH-000504"
"503","RKN","soft_tissue","SARC","RKN_SOFT_TISSUE","ACH-000505"
"504","NCIH146","lung","SCLC","NCIH146_LUNG","ACH-000506"
"505","KE39","stomach","STAD","KE39_STOMACH","ACH-000507"
"506","CORL88","lung","SCLC","CORL88_LUNG","ACH-000508"
"507","HUT78","haematopoietic_and_lymphoid_tissue",NA,"HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000509"
"508","NCIH1299","lung",NA,"NCIH1299_LUNG","ACH-000510"
"509","CALU1","lung","LUSC","CALU1_LUNG","ACH-000511"
"510","INA6","haematopoietic_and_lymphoid_tissue","MM","INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000512"
"511","SNU1272","kidney","KIRC","SNU1272_KIDNEY","ACH-000513"
"512","NCIH1092","lung","SCLC","NCIH1092_LUNG","ACH-000514"
"513","HCC33","lung","SCLC","HCC33_LUNG","ACH-000515"
"514","CAL78","bone","SARC","CAL78_BONE","ACH-000516"
"515","SNU410","pancreas","PAAD","SNU410_PANCREAS","ACH-000517"
"516","CAL33","upper_aerodigestive_tract","HNSC","CAL33_UPPER_AERODIGESTIVE_TRACT","ACH-000518"
"517","PEER","haematopoietic_and_lymphoid_tissue","ALL","PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000519"
"518","59M","ovary","OV","59M_OVARY","ACH-000520"
"519","NCIH2030","lung","LUAD","NCIH2030_LUNG","ACH-000521"
"520","UMUC3","urinary_tract","BLCA","UMUC3_URINARY_TRACT","ACH-000522"
"521","NCIH1184","lung","SCLC","NCIH1184_LUNG","ACH-000523"
"522","KURAMOCHI","ovary","OV","KURAMOCHI_OVARY","ACH-000524"
"523","NCIH2171","lung","SCLC","NCIH2171_LUNG","ACH-000525"
"524","HS821T","fibroblast","SARC","HS821T_FIBROBLAST","ACH-000526"
"525","OVISE","ovary","OV","OVISE_OVARY","ACH-000527"
"526","ABC1","lung","LUAD","ABC1_LUNG","ACH-000528"
"527","T173","fibroblast","SARC","T173_FIBROBLAST","ACH-000529"
"528","DMS114","lung","SCLC","DMS114_LUNG","ACH-000530"
"529","RS5","fibroblast","MESO","RS5_FIBROBLAST","ACH-000531"
"530","SNU61","large_intestine","COADREAD","SNU61_LARGE_INTESTINE","ACH-000532"
"531","NCIH2004RT","soft_tissue","SARC","NCIH2004RT_SOFT_TISSUE","ACH-000533"
"532","WSUDLCL2","haematopoietic_and_lymphoid_tissue","DLBC","WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000534"
"533","BXPC3","pancreas","PAAD","BXPC3_PANCREAS","ACH-000535"
"534","BT20","breast","BRCA","BT20_BREAST","ACH-000536"
"535","SNU761","liver","LIHC","SNU761_LIVER","ACH-000537"
"536","HUTU80","small_intestine","COADREAD","HUTU80_SMALL_INTESTINE","ACH-000538"
"537","HS618T","fibroblast","LUAD","HS618T_FIBROBLAST","ACH-000539"
"538","HS606T","fibroblast","BRCA","HS606T_FIBROBLAST","ACH-000540"
"539","KMS34","haematopoietic_and_lymphoid_tissue","MM","KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000541"
"540","HEYA8","ovary","OV","HEYA8_OVARY","ACH-000542"
"541","SNU489","central_nervous_system","GBMLGG","SNU489_CENTRAL_NERVOUS_SYSTEM","ACH-000543"
"542","OE21","oesophagus","ESCA","OE21_OESOPHAGUS","ACH-000544"
"543","VMCUB1","urinary_tract","BLCA","VMCUB1_URINARY_TRACT","ACH-000545"
"544","HSC4","upper_aerodigestive_tract","HNSC","HSC4_UPPER_AERODIGESTIVE_TRACT","ACH-000546"
"545","HT1197","urinary_tract","BLCA","HT1197_URINARY_TRACT","ACH-000547"
"546","BHY","upper_aerodigestive_tract","HNSC","BHY_UPPER_AERODIGESTIVE_TRACT","ACH-000548"
"547","SNU1076","upper_aerodigestive_tract","HNSC","SNU1076_UPPER_AERODIGESTIVE_TRACT","ACH-000549"
"548","IGR39","skin","SKCM","IGR39_SKIN","ACH-000550"
"549","K562","haematopoietic_and_lymphoid_tissue","LCML","K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000551"
"550","HT29","large_intestine","COADREAD","HT29_LARGE_INTESTINE","ACH-000552"
"551","SQ1","lung","LUSC","SQ1_LUNG","ACH-000553"
"552","UACC893","breast","BRCA","UACC893_BREAST","ACH-000554"
"553","A498","kidney","KIRC","A498_KIDNEY","ACH-000555"
"554","SIHA","cervix","CESC","SIHA_CERVIX","ACH-000556"
"555","AML193","haematopoietic_and_lymphoid_tissue","LAML","AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000557"
"556","A172","central_nervous_system","GBMLGG","A172_CENTRAL_NERVOUS_SYSTEM","ACH-000558"
"557","NCIH1836","lung","SCLC","NCIH1836_LUNG","ACH-000559"
"558","ECC10","stomach","STAD","ECC10_STOMACH","ACH-000560"
"559","TT","oesophagus","ESCA","TT_OESOPHAGUS","ACH-000561"
"560","HCC78","lung","LUAD","HCC78_LUNG","ACH-000562"
"561","EBC1","lung","LUSC","EBC1_LUNG","ACH-000563"
"562","KHM1B","haematopoietic_and_lymphoid_tissue","MM","KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000564"
"563","RCM1","large_intestine","COADREAD","RCM1_LARGE_INTESTINE","ACH-000565"
"564","SW1710","urinary_tract","BLCA","SW1710_URINARY_TRACT","ACH-000566"
"565","ST486","haematopoietic_and_lymphoid_tissue","DLBC","ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000567"
"566","UACC812","breast","BRCA","UACC812_BREAST","ACH-000568"
"567","ISTMES1","pleura","MESO","ISTMES1_PLEURA","ACH-000569"
"568","YKG1","central_nervous_system","GBMLGG","YKG1_CENTRAL_NERVOUS_SYSTEM","ACH-000570"
"569","T98G","central_nervous_system","GBMLGG","T98G_CENTRAL_NERVOUS_SYSTEM","ACH-000571"
"570","G361","skin","SKCM","G361_SKIN","ACH-000572"
"571","MDAMB436","breast","BRCA","MDAMB436_BREAST","ACH-000573"
"572","FUOV1","ovary","OV","FUOV1_OVARY","ACH-000574"
"573","HCC364","lung","LUAD","HCC364_LUNG","ACH-000575"
"574","KMS27","haematopoietic_and_lymphoid_tissue","MM","KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000576"
"575","JHH2","liver","LIHC","JHH2_LIVER","ACH-000577"
"576","HCC1171","lung","LUAD","HCC1171_LUNG","ACH-000578"
"577","UACC257","skin","SKCM","UACC257_SKIN","ACH-000579"
"578","C32","skin","SKCM","C32_SKIN","ACH-000580"
"579","SNU16","stomach","STAD","SNU16_STOMACH","ACH-000581"
"580","COLO741","skin","SKCM","COLO741_SKIN","ACH-000582"
"581","MC116","haematopoietic_and_lymphoid_tissue","DLBC","MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000583"
"582","JHOS4","ovary","OV","JHOS4_OVARY","ACH-000584"
"583","EPLC272H","lung","LUSC","EPLC272H_LUNG","ACH-000585"
"584","NCIH1876","lung","SCLC","NCIH1876_LUNG","ACH-000586"
"585","NCIH1975","lung","LUAD","NCIH1975_LUNG","ACH-000587"
"586","KMS26","haematopoietic_and_lymphoid_tissue","MM","KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000588"
"587","NCIH1437","lung","LUAD","NCIH1437_LUNG","ACH-000589"
"588","NCIH2073","lung","LUAD","NCIH2073_LUNG","ACH-000590"
