cell_line_name	accession_id	synonym_names	ccle_cell_line_name	gdsc_id	nci_taxonomy_id	lineage_name	doid	doid_heiarchy	broad_id
MFH-ino	CVCL_1407	['']	MFHINO_SOFT_TISSUE	925343	C4247	malignant fibroxanthoma	DOID:1907	[u'DOID:1907', u'DOID:4231', u'DOID:201', u'DOID:0060100', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002271
451Lu	CVCL_6357	['451LU', '451-LU', 'WM451-Lu', 'WM-451Lu', 'WM-451LU', 'WM451Lu', 'WM451', 'WC00059', 'LU451', 'EST81']	451LU_SKIN	1287706	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001002
A101D	CVCL_1057	['A-101D']	A101D_SKIN	910921	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000008
CHL-1	CVCL_1122	['CHL1']	CHL1_SKIN	910853	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001024
CJM [Human melanoma]	CVCL_U797	['']	CJM_SKIN		C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000458
COLO 741	CVCL_1133	['COLO-741', 'Colo741', 'COLO741']	COLO741_SKIN	906815	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000582
COLO 783	CVCL_1997	['COLO-783', 'Colo783']	COLO783_SKIN	1240125	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000812
COLO 792	CVCL_1134	['COLO-792', 'COLO792']	COLO792_SKIN	906814	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000968
CP50-MEL-B	CVCL_1143	['CP50MELB']	CP50MELB_SKIN	753545	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002096
CP66-MEL	CVCL_1144	['CP66MEL', 'CP66']	CP66MEL_SKIN	753546	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002097
CP67-MEL	CVCL_1145	['CP67MEL']	CP67MEL_SKIN	949092	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002098
G-361	CVCL_1220	['G361', 'G361-mel', 'G361mel']	G361_SKIN	906865	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000572
HMCB	CVCL_3317	['HumanMelanomaCellBowes', 'Bowesmelanomacells', 'BOWES']	HMCB_SKIN		C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000931
Hs 294T	CVCL_0331	['Hs294T', 'HS294T', 'HS-294T', 'Hs-294T', 'HS-294-T', 'HS-294', 'Hs294']	HS294T_SKIN		C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000014
Hs 600.T	CVCL_0814	['Hs600T']	HS600T_SKIN		C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000240
Hs 688(A).T	CVCL_0846	['']	HS688AT_SKIN		C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000306
Hs 834.T	CVCL_0938	['Hs834T']	HS834T_SKIN		C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000275
Hs 839.T	CVCL_0941	['Hs839T']	HS839T_SKIN		C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000180
Hs 852.T	CVCL_0950	['HS852.T', 'Hs852T']	HS852T_SKIN		C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000274
Hs 895.T	CVCL_0993	['Hs895T']	HS895T_SKIN		C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000043
Hs 934.T	CVCL_1031	['']	HS934T_SKIN		C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000194
Hs 936.T	CVCL_1033	['HS936.T', 'HS936T', 'Hs-936.T', 'Hs936T']	HS936T_SKIN		C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000801
Hs 939.T	CVCL_1036	['HS-939-T', 'Hs939-T', 'Hs939T']	HS939T_SKIN	1298144	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000814
HT-144	CVCL_0318	['HT144', 'HT144', 'HT144-mel', 'HT144mel']	HT144_SKIN	907067	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000322
IGR-1	CVCL_1303	['IGR1', 'IGR1']	IGR1_SKIN	907169	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000882
IGR-37	CVCL_2075	['IgR-37', 'IGR37', 'IGR37', 'MM1']	IGR37_SKIN	1240153	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000650
IGR-39	CVCL_2076	['IGR39', 'IGR39', 'PM1']	IGR39_SKIN		C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000550
IST-MEL1	CVCL_1308	['ISTMEL1']	ISTMEL1_SKIN	907172	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002143
K2 [Human melanoma]	CVCL_AT85	['']	K2_SKIN	1298160	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002147
LB2518-MEL	CVCL_1366	['']	LB2518MEL_SKIN	753579	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002152
LB373-MEL-D	CVCL_1367	['']	LB373MELD_SKIN	753581	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002153
Malme-3M	CVCL_1438	['MALME-3M', 'MALME3M', 'Malme-3M', 'MALME.3M', 'Malme3M', 'MALME3M']	MALME3M_SKIN		C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000477
Mel Ho	CVCL_1402	['MELHO', 'MEL-HO', 'MEL-Ho', 'Mel-HO', 'MelHo', 'MELHO', 'Ho']	MELHO_SKIN	908124	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000450
MeWo	CVCL_0445	['MEWO', 'Mewo', 'MeWo', 'Me-Wo', 'Mevo', 'SK-MEL-MeWo', 'BI-Mel', 'EST50']	MEWO_SKIN	908128	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000987
MMAc-SF	CVCL_1420	['MMAC-SF', 'MMAc.SF', 'MMAc-SerumFree']		925339	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']
MZ-MEL-2	CVCL_1435	['Mz-Mel-2', 'MZMel2', 'MZ-2Mel', 'MZ2-MEL', 'MZ2-Mel']	MZ2MEL_SKIN	971777	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002165
MZ-MEL-7	CVCL_1436	['MZ-Mel-7', 'MZ7-MEL', 'MZ7-mel']	MZ7MEL_SKIN	753596	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002166
RPMI-7951	CVCL_1666	['RPMI7951', 'RPMI7951', 'RoswellParkMemorialInstitute7951']	RPMI7951_SKIN	910903	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000348
RVH-421	CVCL_1672	['RVH421', 'RVH421']	RVH421_SKIN	909706	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000614
SH-4	CVCL_1692	['SH4']	SH4_SKIN	909713	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000441
SK-MEL-1	CVCL_0068	['SK-Mel-1', 'SKMel1', 'SK-Mel1', 'SK-Mel1', 'SKMEL-1', 'SkMEL-1', 'SKMEL1', 'SK1']	SKMEL1_SKIN	909723	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000465
SK-MEL-2	CVCL_0069	['SK-Mel-2', 'SK-mel-2', 'SK.MEL.2', 'SKMel2', 'SKMEL2', 'SKMEL-2', 'SKMEL2', 'SKmel2', 'SK-ML2', 'SKml2']	SKMEL2_SKIN	905955	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001190
SK-MEL-24	CVCL_0599	['Sk-Mel-24', 'SKMel24', 'SKMEL-24', 'SK-Mel24', 'SKMEL24', 'SKMel24', 'AQ-Mel']	SKMEL24_SKIN	909725	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000822
SK-MEL-3	CVCL_0550	['SK-Mel-3', 'Sk-mel-3', 'SK-Mel3', 'SKMEL3']	SKMEL3_SKIN	909724	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000423
SK-MEL-31	CVCL_0600	['Sk-Mel-31', 'SKMEL-31', 'SKMel-31', 'SkMel31', 'SKMEL31', 'AX-Mel']	SKMEL31_SKIN	909727	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000640
UACC-257	CVCL_1779	['UACC257', 'UACC.257', 'UACC257', 'UniversityofArizonaCellCulture-257']	UACC257_SKIN	905977	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000579
UACC-62	CVCL_1780	['UACC62', 'UACC.62', 'UACC62', 'UniversityofArizonaCellCulture-62']	UACC62_SKIN	905976	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000425
VMRC-MELG	CVCL_1789	['Leggee', 'VirginiaMasonResearchCenter-MelanomaG']	VMRCMELG_SKIN	930301	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001704
WM115	CVCL_0040	['WM-115', 'WM115', 'WM115F', 'WM115-mel', 'WM115mel', 'WC00079']	WM115_SKIN	909784	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000304
WM1552C	CVCL_6472	['WM-1552C', 'WM1552C', 'WM-1552', 'WM1552', 'EST73']	WM1552C_SKIN	1299078	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002205
WM1799	CVCL_A341	['WM-1799', 'WM1799']	WM1799_SKIN		C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000661
WM266-4	CVCL_2765	['WM-266-4', 'WM266-4', 'WM-2664', 'WM2664', 'WM2664', 'WM266', 'WM-266-mel', 'WM266mel', 'WC00097']	WM2664_SKIN		C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001239
WM278	CVCL_6473	['WM-278', 'WM278', 'WC00054']	WM278_SKIN	1240226	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002206
WM35	CVCL_0580	['WM-35', 'WM35', 'WC00060']	WM35_SKIN	1299080	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002207
WM793	CVCL_8787	['WM-793', 'WM793', 'WML793', 'WM793B', 'WM-793B', 'WM793B', 'WM793b', 'WC00062']	WM793_SKIN	1299081	C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000827
WM88	CVCL_6805	['WM-88', 'WM88', 'WC00123']	WM88_SKIN		C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000899
WM983B	CVCL_6809	['WM-983B', 'WM983B', 'WM983-B', 'WM-983/B', 'WC00066']	WM983B_SKIN		C3224	melanoma	DOID:1909	[u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000765
CaR-1	CVCL_1116	['CaR1', 'CAR1']	CAR1_LARGE_INTESTINE	924108	C9383	rectum adenocarcinoma	DOID:1996	[u'DOID:1996', u'DOID:1993', u'DOID:9256', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002345
RCM-1 [Human rectum adenocarcinoma]	CVCL_1648	['RCM1']	RCM1_LARGE_INTESTINE	909263	C9383	rectum adenocarcinoma	DOID:1996	[u'DOID:1996', u'DOID:1993', u'DOID:9256', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000565
SNU-1033	CVCL_5002	['SNU1033']	SNU1033_LARGE_INTESTINE		C9383	rectum adenocarcinoma	DOID:1996	[u'DOID:1996', u'DOID:1993', u'DOID:9256', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000286
SNU-283	CVCL_5044	['SNU283', 'NCI-SNU-283']	SNU283_LARGE_INTESTINE	1659929	C9383	rectum adenocarcinoma	DOID:1996	[u'DOID:1996', u'DOID:1993', u'DOID:9256', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000708
SNU-503	CVCL_5071	['SNU503', 'NCI-SNU-503']	SNU503_LARGE_INTESTINE		C9383	rectum adenocarcinoma	DOID:1996	[u'DOID:1996', u'DOID:1993', u'DOID:9256', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000683
SNU-61	CVCL_5078	['SNU61', 'NCI-SNU-61']	SNU61_LARGE_INTESTINE	1660035	C9383	rectum adenocarcinoma	DOID:1996	[u'DOID:1996', u'DOID:1993', u'DOID:9256', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000532
SW1463	CVCL_1718	['SW-1463', 'SW1463']	SW1463_LARGE_INTESTINE	909748	C9383	rectum adenocarcinoma	DOID:1996	[u'DOID:1996', u'DOID:1993', u'DOID:9256', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000470
SW837	CVCL_1729	['SW-837', 'SW837']	SW837_LARGE_INTESTINE	909755	C9383	rectum adenocarcinoma	DOID:1996	[u'DOID:1996', u'DOID:1993', u'DOID:9256', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000421
JAR	CVCL_0360	['Jar', 'JAr', 'JaR']	JAR_PLACENTA	907175	C4646	gestational choriocarcinoma	DOID:2025	[u'DOID:2025', u'DOID:3594', u'DOID:2021', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001529
JEG-3	CVCL_0363	['Jeg-3', 'JEG3', 'Jeg3', 'jeg3']	JEG3_PLACENTA	907176	C4646	gestational choriocarcinoma	DOID:2025	[u'DOID:2025', u'DOID:3594', u'DOID:2021', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001530
SCaBER	CVCL_3599	['SCABER', 'Scaber']	SCABER_URINARY_TRACT	1299051	C4031	vulvar nodular hidradenoma	DOID:2060	[u'DOID:2060', u'DOID:0060109', u'DOID:0060086', u'DOID:0050622', u'DOID:0060085', u'DOID:0060072', u'DOID:14566', u'DOID:4']	ACH-000839
C-33 A	CVCL_1094	['C33A', 'C33a', 'C33-A', 'C-33-A', 'C-33A']	C33A_CERVIX	687505	C4028	vulvar squamous tumor	DOID:2072	[u'DOID:2072', u'DOID:1245', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001333
OMC-1 [Human cervical carcinoma]	CVCL_1623	['OMC1', 'OsakaMedicalCollege-1']	OMC1_CERVIX	949154	C4028	vulvar squamous tumor	DOID:2072	[u'DOID:2072', u'DOID:1245', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002180
GAK	CVCL_1225	['']	GAK_SKIN	910932	C40329	vulvar melanoma	DOID:2093	[u'DOID:2093', u'DOID:1245', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002120
A-431	CVCL_0037	['A431', 'A431/P']	A431_SKIN	910925	C4052	vulva squamous cell carcinoma	DOID:2101	[u'DOID:2101', u'DOID:1294', u'DOID:1245', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001328
CAL-39	CVCL_1109	['CAL39', 'CAL39', 'CentreAntoineLacassagne-39']	CAL39_CERVIX	924107	C4052	vulva squamous cell carcinoma	DOID:2101	[u'DOID:2101', u'DOID:1294', u'DOID:1245', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002091
SW954	CVCL_1732	['SW-954', 'SW954']	SW954_CERVIX	924247	C4052	vulva squamous cell carcinoma	DOID:2101	[u'DOID:2101', u'DOID:1294', u'DOID:1245', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001400
BICR 18	CVCL_2309	['BICR-18', 'BICR18', 'BICR-18R', 'BeatsonInstituteforCancerResearch18']	BICR18_UPPER_AERODIGESTIVE_TRACT		C4044	ovarian malignant mesothelioma	DOID:2143	[u'DOID:2143', u'DOID:2394', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000992
JHU-011	CVCL_5986	['JHU011', 'JHU-011-SCC', 'JHU-O11', 'JHU011', 'HNSCC011', 'O11', '011', '11']	JHU011_HEAD_AND_NECK	1240161	C4044	ovarian malignant mesothelioma	DOID:2143	[u'DOID:2143', u'DOID:2394', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002249
JHU-029	CVCL_5993	['JHU-O29', 'JHU029', 'HNSCC029', '029']	JHU029_HEAD_AND_NECK	1298156	C4044	ovarian malignant mesothelioma	DOID:2143	[u'DOID:2143', u'DOID:2394', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002251
PCI-04B	CVCL_C171	['PCI-4B', 'PCI-4M', 'PCI-4.2']	PCI4B_HEAD_AND_NECK	1298531	C4044	ovarian malignant mesothelioma	DOID:2143	[u'DOID:2143', u'DOID:2394', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002297
SNU-1066	CVCL_5005	['SNU1066']	SNU1066_UPPER_AERODIGESTIVE_TRACT		C4044	ovarian malignant mesothelioma	DOID:2143	[u'DOID:2143', u'DOID:2394', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000682
SNU-1076	CVCL_5006	['SNU1076', 'NCI-SNU-1076']	SNU1076_UPPER_AERODIGESTIVE_TRACT		C4044	ovarian malignant mesothelioma	DOID:2143	[u'DOID:2143', u'DOID:2394', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000549
SNU-1214	CVCL_5017	['SNU1214', 'NCI-SNU-1214']	SNU1214_UPPER_AERODIGESTIVE_TRACT		C4044	ovarian malignant mesothelioma	DOID:2143	[u'DOID:2143', u'DOID:2394', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000715
SNU-46	CVCL_5063	['SNU46']	SNU46_UPPER_AERODIGESTIVE_TRACT		C4044	ovarian malignant mesothelioma	DOID:2143	[u'DOID:2143', u'DOID:2394', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000500
SNU-899	CVCL_5105	['SNU899', 'NCI-SNU-899']	SNU899_UPPER_AERODIGESTIVE_TRACT		C4044	ovarian malignant mesothelioma	DOID:2143	[u'DOID:2143', u'DOID:2394', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000692
BICR 10	CVCL_2307	['BICR-10', 'BICR10', 'BICR-10R', 'BeatsonInstituteforCancerResearch10']	BICR10_UPPER_AERODIGESTIVE_TRACT	1290724	C4040	nephroblastoma	DOID:2154	[u'DOID:2154', u'DOID:263', u'DOID:3996', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001331
HT-29	CVCL_0320	['HT29', 'HT29']	HT29_LARGE_INTESTINE	905939	C43584	colon cancer	DOID:219	[DOID:219, DOID:5672, DOID:10155, DOID:3119, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000552
C2BBe1	CVCL_1096	['C2BBE1', 'C2BBe1', 'Caco-2/BBe1', 'Caco-2/BBe', 'Caco-2BBe', 'Caco-2BBE', 'Caco-2BBe', 'Caco2-BBE', 'Caco2BBe', 'Caco2BBE', 'CACO2BBE', 'BBE']	C2BBE1_LARGE_INTESTINE	910700	C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000009
CCK-81	CVCL_2873	['CCK81']	CCK81_LARGE_INTESTINE	1240123	C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000963
CL-11	CVCL_1978	['CL11']	CL11_LARGE_INTESTINE	1290769	C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000249
CL-14	CVCL_1979	['CL14']	CL14_LARGE_INTESTINE		C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000342
CL-34	CVCL_1980	['CL34']	CL34_LARGE_INTESTINE	1290771	C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000895
CL-40	CVCL_1982	['CL40']	CL40_LARGE_INTESTINE	1240124	C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000798
COLO 201	CVCL_1987	['Colo201', 'Colo-201', 'COLO-201', 'COLO201', 'Colo201']	COLO201_LARGE_INTESTINE		C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000253
COLO 205	CVCL_0218	['Colo205', 'CoLo205', 'COLO-205', 'Colo-205', 'COLO.205', 'Colo205', 'COLO205', 'Co205']	COLO205_LARGE_INTESTINE	905961	C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001039
COLO 320	CVCL_1989	['COLO-320', 'Colo-320', 'Colo320', 'CoLo320', 'Co320', 'COLO320F']	COLO320_LARGE_INTESTINE		C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000202
COLO 320HSR	CVCL_0220	['COLO-320HSR', 'COLO320HSR', 'COLO320HSR', 'COLO-320-HSR', 'COLO-HSR']	COLO320HSR_LARGE_INTESTINE	910569	C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002219
CW-2	CVCL_1151	['CW2']	CW2_LARGE_INTESTINE	910554	C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000998
DLD-1	CVCL_0248	['DLD1', 'DLD1']	DLD1_LARGE_INTESTINE		C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001061
