	cell_line_name	accession_id	synonym_names	ccle_cell_line_name	gdsc_id	nci_taxonomy_id	lineage_name	doid	doid_heiarchy	broad_id	broad_id_alt
440	SNU-1197	CVCL_5016	['SNU1197']	SNU1197_LARGE_INTESTINE		C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000412	
441	SNU-175	CVCL_5031	['SNU175', 'NCI-SNU-175']	SNU175_LARGE_INTESTINE	1659928	C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000989	
442	SNU-407	CVCL_5058	['SNU407', 'NCI-SNU-407']	SNU407_LARGE_INTESTINE	1660034	C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000955	
443	SNU-81	CVCL_5098	['SNU81', 'NCI-SNU-81']	SNU81_LARGE_INTESTINE	1660036	C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000991	
444	SNU-C1	CVCL_1708	['SNUC1', 'NCI-SNU-C1']	SNUC1_LARGE_INTESTINE	910905	C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000722	
445	SNU-C4	CVCL_5111	['SNUC4', 'SNUC4', 'NCI-SNU-C4', 'C4']	SNUC4_LARGE_INTESTINE		C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000959	
446	SW1116	CVCL_0544	['SW-1116', 'SW1116']	SW1116_LARGE_INTESTINE	909746	C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000489	
447	SW1417	CVCL_1717	['SW-1417', 'SW1417']	SW1417_LARGE_INTESTINE	909747	C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000236	
448	SW403	CVCL_0545	['SW-403', 'SW403']	SW403_LARGE_INTESTINE	910908	C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000820	
449	SW48	CVCL_1724	['SW-48', 'SW48']	SW48_LARGE_INTESTINE	909751	C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000958	
450	SW480	CVCL_0546	['SW-480', 'SW480', 'SW480E']	SW480_LARGE_INTESTINE		C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000842	
451	SW620	CVCL_0547	['SW-620', 'SW620', 'SW.620']	SW620_LARGE_INTESTINE	905962	C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000651	
452	SW626	CVCL_1725	['SW-626', 'SW626']	SW626_OVARY	909753	C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001399	
453	SW948	CVCL_0632	['SW-948', 'SW948']	SW948_LARGE_INTESTINE	909757	C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000680	
454	T84	CVCL_0555	['T-84', 'T84']	T84_LARGE_INTESTINE	909761	C4349	colon adenocarcinoma	DOID:234	[u'DOID:234', u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000381	
455	C125PM	CVCL_33315	['125P']	C125PM_LARGE_INTESTINE			colon adenocarcinoma	DOID:234	[u'DOID:234', 'DOID:1520', 'DOID:219', 'DOID:5672', 'DOID:10155', 'DOID:3119', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-001456	
456	C84	CVCL_81144	['8']	C84_LARGE_INTESTINE			colon adenocarcinoma	DOID:234	[u'DOID:234', 'DOID:1520', 'DOID:219', 'DOID:5672', 'DOID:10155', 'DOID:3119', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-001460	
457	C99	CVCL_13772	['9']	C99_LARGE_INTESTINE			colon adenocarcinoma	DOID:234	[u'DOID:234', 'DOID:1520', 'DOID:219', 'DOID:5672', 'DOID:10155', 'DOID:3119', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-001461	
458	HT-29	CVCL_0320	['HT29', 'HT29']	HT29_LARGE_INTESTINE	905939	C43584	colon cancer	DOID:219	[DOID:219, DOID:5672, DOID:10155, DOID:3119, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000552	
459	GISTT1	CVCL_30885	['a']	GISTT1_GASTROINTESTINAL_TRACT			colon cancer	DOID:219	[u'DOID:219', 'DOID:5672', 'DOID:10155', 'DOID:3119', 'DOID:0050686', 'DOID:162', 'DOID:14566', 'DOID:4']	ACH-002332	
461	COLO 678	CVCL_1129	['Colo-678', 'COLO-678', 'COLO678']	COLO678_LARGE_INTESTINE	910689	C4910	colon carcinoma	DOID:1520	[u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000350	
462	GEO	CVCL_0271	['Geo', 'HCT-GEO', 'HCTGEO']	GEO_LARGE_INTESTINE	2164691	C4910	colon carcinoma	DOID:1520	[u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002394	
463	HCT 116	CVCL_0291	['HCT-116', 'HCT.116', 'HCT116']	HCT116_LARGE_INTESTINE	905936	C4910	colon carcinoma	DOID:1520	[u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000971	
464	HT-55	CVCL_1294	['HT55']	HT55_LARGE_INTESTINE	907287	C4910	colon carcinoma	DOID:1520	[u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000926	
465	HT115	CVCL_2520	['HT-115', 'HT115']	HT115_LARGE_INTESTINE	907289	C4910	colon carcinoma	DOID:1520	[u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000986	
466	KM12	CVCL_1331	['KM-12', 'KM.12']	KM12_LARGE_INTESTINE	905989	C4910	colon carcinoma	DOID:1520	[u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000969	
467	MDST8	CVCL_2588	['T8']	MDST8_LARGE_INTESTINE	1240173	C4910	colon carcinoma	DOID:1520	[u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000935	
468	OUMS-23	CVCL_3088	['OUMS23', 'OkayamaUniversityMedicalSchool-23']	OUMS23_LARGE_INTESTINE		C4910	colon carcinoma	DOID:1520	[u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000296	
469	RKO	CVCL_0504	['']	RKO_LARGE_INTESTINE	909698	C4910	colon carcinoma	DOID:1520	[u'DOID:1520', u'DOID:219', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000943	
470	DiFi	CVCL_6895	['DIFI']	DIFI_LARGE_INTESTINE	1789883	C2955	colorectal carcinoma	DOID:0080199	[u'DOID:0080199', u'DOID:9256', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002233	
471	Hs 255.T	CVCL_0707	['Hs-255-T', 'Hs255T']	HS255T_LARGE_INTESTINE		C2955	colorectal carcinoma	DOID:0080199	[u'DOID:0080199', u'DOID:9256', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000199	
472	Hs 675.T	CVCL_0836	['Hs675T', '675T']	HS675T_LARGE_INTESTINE		C2955	colorectal carcinoma	DOID:0080199	[u'DOID:0080199', u'DOID:9256', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000214	
473	Hs 698.T	CVCL_0855	['']	HS698T_LARGE_INTESTINE		C2955	colorectal carcinoma	DOID:0080199	[u'DOID:0080199', u'DOID:9256', u'DOID:5672', u'DOID:10155', u'DOID:3119', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000850	
474	CTB-1	CVCL_1149	['CTB1']	CTB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	949088	C8851	diffuse large b-cell lymphoma	DOID:0050745	[DOID:0050745, DOID:707, DOID:0060060, DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-002221	
475	Karpas-231	CVCL_1822	['KARPAS-231', 'Karpas231', 'KARPAS231', 'KARPAS231', 'K231']	KARPAS231_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1327774	C8851	diffuse large b-cell lymphoma	DOID:0050745	[DOID:0050745, DOID:707, DOID:0060060, DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-002255	
476	NU-DHL-1	CVCL_1876	['NUDHL1', 'NuDHL1']	NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		C8851	diffuse large b-cell lymphoma	DOID:0050745	[DOID:0050745, DOID:707, DOID:0060060, DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000388	
477	OCI-Ly10	CVCL_8795	['OCI-LY10', 'OCI-LY-10', 'OCI-Ly10', 'OCILY-10', 'OCILy10', 'OCILY10', 'Ly10', 'LY10']	OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		C8851	diffuse large b-cell lymphoma	DOID:0050745	[DOID:0050745, DOID:707, DOID:0060060, DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-001146	
478	OCI-Ly3	CVCL_8800	['OCI-LY3', 'OCI-LY-3', 'Oci-Ly-3', 'OCI-Ly3', 'OCILY-3', 'OCI-Ly03', 'OCILy3', 'OCILY3', 'Ly3', 'LY3']	OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		C8851	diffuse large b-cell lymphoma	DOID:0050745	[DOID:0050745, DOID:707, DOID:0060060, DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000158	
479	OCI-Ly7	CVCL_1881	['OCI-LY7', 'OCI-LY-7', 'OCI-Ly-7', 'Oci-Ly-7', 'OCI-Ly7', 'OCI-Ly07', 'OCILY7', 'Ly7', 'LY7']	OCILY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1659819	C8851	diffuse large b-cell lymphoma	DOID:0050745	[DOID:0050745, DOID:707, DOID:0060060, DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-001617	
480	ROS-50	CVCL_1887	['Ros-50', 'ROS.50', 'ROS50', 'Ros50', 'ROS50', 'Ros50', 'RotterdamSuspensioncelllineno.50']	ROS50_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1331025	C8851	diffuse large b-cell lymphoma	DOID:0050745	[DOID:0050745, DOID:707, DOID:0060060, DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-001639	
481	Toledo	CVCL_3611	['TOLEDO']	TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		C8851	diffuse large b-cell lymphoma	DOID:0050745	[DOID:0050745, DOID:707, DOID:0060060, DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000285	
482	VAL	CVCL_1819	['']	VAL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1331048	C8851	diffuse large b-cell lymphoma	DOID:0050745	[DOID:0050745, DOID:707, DOID:0060060, DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-001703	
483	RC-K8	CVCL_1883	['RCK-8', 'RCK8', 'Rck8']	RCK8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1330995	C36081	diffuse large b-cell lymphoma activated b-cell type	DOID:0050745	[DOID:0050745, DOID:707, DOID:0060060, DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-001638	
484	Ri-1	CVCL_1885	['RI-1', 'RI1', 'RIVA', 'Riva']	RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		C36081	diffuse large b-cell lymphoma activated b-cell type	DOID:0050745	[DOID:0050745, DOID:707, DOID:0060060, DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000398	
485	Farage	CVCL_3302	['FARAGE', 'FarageOL', 'FarageOriginalLine']	FARAGE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1297449	C36080	diffuse large b-cell lymphoma germinal center b-cell type	DOID:0050745	[DOID:0050745, DOID:707, DOID:0060060, DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-001498	
486	Pfeiffer	CVCL_3326	['PFEIFFER']	PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		C36080	diffuse large b-cell lymphoma germinal center b-cell type	DOID:0050745	[DOID:0050745, DOID:707, DOID:0060060, DOID:0060058, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000140	
487	OC 315	CVCL_1617	['OC-315', 'OC315']			C7550	ovary serous adenocarcinoma	DOID:5744	[u'DOID:5744', u'DOID:3713', u'DOID:4001', u'DOID:2151', u'DOID:2152', u'DOID:2394', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']		
488	A-204	CVCL_1058	['A204']	A204_SOFT_TISSUE	910784	C8971	embryonal rhabdomyosarcoma	DOID:3246	[u'DOID:3246', u'DOID:3247', u'DOID:4043', u'DOID:4045', u'DOID:0060100', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000201	
489	Hs 729.T	CVCL_0871	['Hs729', 'HS-729', 'Hs729', 'Hs-729-T', 'Hs729T', 'Hs729T', 'HS729T']	HS729_SOFT_TISSUE		C8971	embryonal rhabdomyosarcoma	DOID:3246	[u'DOID:3246', u'DOID:3247', u'DOID:4043', u'DOID:4045', u'DOID:0060100', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000133	
490	RD	CVCL_1649	['RD', 'RD-2', 'RD2', '130T', '130-T', '130T', 'TE-32', 'TE32', 'TE32', 'TE32.T', 'Te32.T']	RD_SOFT_TISSUE	909264	C8971	embryonal rhabdomyosarcoma	DOID:3246	[u'DOID:3246', u'DOID:3247', u'DOID:4043', u'DOID:4045', u'DOID:0060100', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000169	
491	NCC-IT	CVCL_1451	['NCCIT']	NCCIT_TESTES	908441	C6341	embryonal testis carcinoma	DOID:5680	[u'DOID:5680', u'DOID:3308', u'DOID:688', u'DOID:2994', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001578	
492	NEC8	CVCL_1604	['NEC-8']	NEC8_TESTIS	910942	C6341	embryonal testis carcinoma	DOID:5680	[u'DOID:5680', u'DOID:3308', u'DOID:688', u'DOID:2994', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002288	
493	HEC-6	CVCL_2931	['HEC6']	HEC6_ENDOMETRIUM		C6290	endometrial adenocarcinoma	DOID:2870	[u'DOID:2870', u'DOID:2871', u'DOID:1380', u'DOID:363', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000984	
494	AN3-CA	CVCL_0028	['AN3CA', 'AN3Ca', 'AN3CA', 'AN-3', 'AN3']	AN3CA_ENDOMETRIUM	910781	C7359	endometrial adenocarcinoma	DOID:2870	[u'DOID:2870', u'DOID:2871', u'DOID:1380', u'DOID:363', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000940	
495	COLO 684	CVCL_1132	['COLO-684', 'COLO684', 'Colo684']	COLO684_ENDOMETRIUM	910691	C7359	endometrial adenocarcinoma	DOID:2870	[u'DOID:2870', u'DOID:2871', u'DOID:1380', u'DOID:363', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000864	
496	HEC-1	CVCL_1274	['HEC1', 'HumanEndometrialCancer-1', 'HEC-B-296']	HEC1_ENDOMETRIUM	907051	C7359	endometrial adenocarcinoma	DOID:2870	[u'DOID:2870', u'DOID:2871', u'DOID:1380', u'DOID:363', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001517	
497	HEC-1-A	CVCL_0293	['Hec-1-A', 'HEC-1A', 'HEC1-A', 'HEC1A', 'Hec1A']	HEC1A_ENDOMETRIUM		C7359	endometrial adenocarcinoma	DOID:2870	[u'DOID:2870', u'DOID:2871', u'DOID:1380', u'DOID:363', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000954	
498	HEC-1-B	CVCL_0294	['Hec-1-B', 'HEC-1B', 'HEC1-B', 'HEC1B', 'Hec1B']	HEC1B_ENDOMETRIUM		C7359	endometrial adenocarcinoma	DOID:2870	[u'DOID:2870', u'DOID:2871', u'DOID:1380', u'DOID:363', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000941	
499	HEC-108	CVCL_2923	['HEC108']	HEC108_ENDOMETRIUM		C7359	endometrial adenocarcinoma	DOID:2870	[u'DOID:2870', u'DOID:2871', u'DOID:1380', u'DOID:363', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000990	
500	HEC-151	CVCL_2925	['HEC151']	HEC151_ENDOMETRIUM		C7359	endometrial adenocarcinoma	DOID:2870	[u'DOID:2870', u'DOID:2871', u'DOID:1380', u'DOID:363', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000972	
501	HEC-265	CVCL_2928	['HEC265']	HEC265_ENDOMETRIUM		C7359	endometrial adenocarcinoma	DOID:2870	[u'DOID:2870', u'DOID:2871', u'DOID:1380', u'DOID:363', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000946	
502	HEC-50B	CVCL_2929	['HEC50B', 'HEC-50cloneB', 'HEC-50', 'HEC50', 'Hec50']	HEC50B_ENDOMETRIUM		C7359	endometrial adenocarcinoma	DOID:2870	[u'DOID:2870', u'DOID:2871', u'DOID:1380', u'DOID:363', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000831	
503	HEC-59	CVCL_2930	['HEC59', 'Hec59']	HEC59_ENDOMETRIUM		C7359	endometrial adenocarcinoma	DOID:2870	[u'DOID:2870', u'DOID:2871', u'DOID:1380', u'DOID:363', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000994	
504	Ishikawa (Heraklio) 02 ER-	CVCL_6543	['Ishikawa(Heraklio)02ER-', 'ER-02ISH']	ISHIKAWAHERAKLIO02ER_ENDOMETRIUM		C7359	endometrial adenocarcinoma	DOID:2870	[u'DOID:2870', u'DOID:2871', u'DOID:1380', u'DOID:363', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000961	
505	JHUEM-1	CVCL_4655	['JHUEM1']	JHUEM1_ENDOMETRIUM		C7359	endometrial adenocarcinoma	DOID:2870	[u'DOID:2870', u'DOID:2871', u'DOID:1380', u'DOID:363', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000928	
506	JHUEM-2	CVCL_4656	['JHUEM2']	JHUEM2_ENDOMETRIUM		C7359	endometrial adenocarcinoma	DOID:2870	[u'DOID:2870', u'DOID:2871', u'DOID:1380', u'DOID:363', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000909	
507	JHUEM-3	CVCL_4657	['JHUEM3']	JHUEM3_ENDOMETRIUM		C7359	endometrial adenocarcinoma	DOID:2870	[u'DOID:2870', u'DOID:2871', u'DOID:1380', u'DOID:363', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000173	
508	JHUEM-7	CVCL_4658	['JHUEM7']	JHUEM7_ENDOMETRIUM		C7359	endometrial adenocarcinoma	DOID:2870	[u'DOID:2870', u'DOID:2871', u'DOID:1380', u'DOID:363', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000993	
509	KLE	CVCL_1329	['']	KLE_ENDOMETRIUM	924187	C7359	endometrial adenocarcinoma	DOID:2870	[u'DOID:2870', u'DOID:2871', u'DOID:1380', u'DOID:363', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000293	
510	MFE-280	CVCL_1405	['MFE280', 'MFE280']	MFE280_ENDOMETRIUM	908129	C7359	endometrial adenocarcinoma	DOID:2870	[u'DOID:2870', u'DOID:2871', u'DOID:1380', u'DOID:363', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000192	
511	MFE-296	CVCL_1406	['MFE296', 'MFE296']	MFE296_ENDOMETRIUM	908130	C7359	endometrial adenocarcinoma	DOID:2870	[u'DOID:2870', u'DOID:2871', u'DOID:1380', u'DOID:363', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000879	
512	SNG-M	CVCL_1707	['SNGM']	SNGM_ENDOMETRIUM	909735	C7359	endometrial adenocarcinoma	DOID:2870	[u'DOID:2870', u'DOID:2871', u'DOID:1380', u'DOID:363', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000974	
513	MFE-319	CVCL_2112	['MFE319']	MFE319_ENDOMETRIUM	1240174	C114656	endometrial cancer	DOID:1380	[DOID:1380, DOID:363, DOID:120, DOID:193, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000988	
514	RL95-2	CVCL_0505	['RL-95-2', 'RL952', 'RL95']	RL952_ENDOMETRIUM	930082	C114656	endometrial cancer	DOID:1380	[DOID:1380, DOID:363, DOID:120, DOID:193, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000965	
515	EFE-184	CVCL_1191	['EFE184']	EFE184_ENDOMETRIUM		C7558	endometrial carcinoma	DOID:2871	[u'DOID:2871', u'DOID:1380', u'DOID:363', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000435	
516	EN	CVCL_2034	['']	EN_ENDOMETRIUM	1240127	C7558	endometrial carcinoma	DOID:2871	[u'DOID:2871', u'DOID:1380', u'DOID:363', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000978	
517	HEC-251	CVCL_2927	['HEC251']	HEC251_ENDOMETRIUM		C7558	endometrial carcinoma	DOID:2871	[u'DOID:2871', u'DOID:1380', u'DOID:363', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000996	
518	TEN	CVCL_E063	['']	TEN_ENDOMETRIUM		C7558	endometrial carcinoma	DOID:2871	[u'DOID:2871', u'DOID:1380', u'DOID:363', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000397	
519	ESS-1	CVCL_1205	['ESS1', 'EndometrialStromalSarcoma-1']	ESS1_ENDOMETRIUM	907000	C8973	endometrial stromal sarcoma	DOID:4226	[u'DOID:4226', u'DOID:5166', u'DOID:1380', u'DOID:363', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000913	
520	A2780	CVCL_0134	['A-2780', '2780', 'A2780S']	A2780_OVARY	906804	C7979	endometrioid ovary carcinoma	DOID:5828	[u'DOID:5828', u'DOID:3713', u'DOID:4001', u'DOID:2151', u'DOID:2152', u'DOID:2394', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000657	
521	IGROV-1	CVCL_1304	['Igrov-1', 'IGROV1', 'IGR-OV1', 'IGROV1', 'Igrov1', 'IGR.OV1', 'IGROV', 'OV1/P', 'OV1/p', 'OV1-P']	IGROV1_OVARY	905968	C7979	endometrioid ovary carcinoma	DOID:5828	[u'DOID:5828', u'DOID:3713', u'DOID:4001', u'DOID:2151', u'DOID:2152', u'DOID:2394', u'DOID:120', u'DOID:193', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000966	
