n_replicates,DepMap_ID,cell_line_SSMD,culture_type,culture_medium,aliases,CCLE_name,primary_tissue,secondary_tissue,tertiary_tissue,cas9_activity
2,ACH-000393,-1.0664548273573828,Adherent,EMEM; 10% FBS,HLF,HLF_LIVER,liver,,,NO VALUES 8.16.16
3,ACH-000395,-1.5354611080335114,Adherent,RPMI; 10% FBS,NCI-H520,NCIH520_LUNG,lung,lung_NSC,lung_squamous,13.4
2,ACH-000397,-1.130637485026472,Adherent,Minimum Essential Media (MEM): 90.0%;10%FBS,TEN,TEN_ENDOMETRIUM,uterus,uterus_endometrium,,18.8
2,ACH-000401,-1.1048579680462136,Adherent,RPMI-1640: 10%FBS,COLO-800,COLO800_SKIN,skin,melanoma,,23.2
3,ACH-000403,-1.2459065024362332,Adherent,RPMI; 10% FBS,NCI-H747,NCIH747_LARGE_INTESTINE,colorectal,,,15.4
1,ACH-000404,-1.1076679750552587,Adherent,RPMI;10% FBS; ,K029AX,K029AX_SKIN,skin,melanoma,,55.2
3,ACH-000406,-1.2476338495584298,Suspension,RPMI;10% FBS; ,U-937,U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,leukemia,AML,,23.9
2,ACH-000407,-1.3599744721884324,Adherent,RPMI;10% FBS; ,SNU-685,SNU685_ENDOMETRIUM,uterus,uterus_endometrium,,15.9
2,ACH-000408,-1.0117496177238858,Adherent,RPMI-1640: 10%FBS,TE-5,TE5_OESOPHAGUS,esophagus,esophagus_squamous,,35.9
2,ACH-000410,-1.3726368689629131,Adherent,McCoy's 5A; 15% FBS,Saos-2,SAOS2_BONE,bone,osteosarcoma,,40
2,ACH-000411,-1.6064077657639455,Adherent,RPMI;10% FBS; ,769-P,769P_KIDNEY,kidney,,,16.7
4,ACH-000414,-1.465610838724434,Adherent,RPMI; 10% FBS,NCI-H1944,NCIH1944_LUNG,lung,lung_NSC,lung_adenocarcinoma,37.5
2,ACH-000415,-1.1405842029835502,Adherent,DMEM;10% FBS; ,BICR 6,BICR6_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,,10.6
2,ACH-000416,-1.5264132573349494,Adherent,RPMI; 10% FBS,NCI-H838,NCIH838_LUNG,lung,lung_NSC,lung_adenocarcinoma,15.2
2,ACH-000420,-1.3414201043439336,Adherent,RPMI; 10% FBS,SNU-449,SNU449_LIVER,liver,,,10.8
3,ACH-000421,-1.6119379663914908,Adherent,RPMI; 10% FBS,SW 837,SW837_LARGE_INTESTINE,colorectal,,,9.9
2,ACH-000425,-1.1358913426301804,Adherent,RPMI-1640: 10%FBS,UACC-62,UACC62_SKIN,skin,melanoma,,26.9
2,ACH-000426,-0.7415933853705762,Suspension,RPMI; 10% FBS,KMS-20,KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,,,55.4
2,ACH-000427,-0.6830087597091685,Adherent,RPMI; 10% FBS,NCI-N87,NCIN87_STOMACH,gastric,gastric_adenocarcinoma,,49.2
2,ACH-000433,-1.3951941326110031,Adherent,McCoy's 5A; 10% FBS,Caki-1,CAKI1_KIDNEY,kidney,,,49.5
1,ACH-000435,-0.5856729204178966,Adherent,RPMI; 10% FBS,EFE-184,EFE184_ENDOMETRIUM,uterus,uterus_endometrium,,17.8
2,ACH-000436,-1.4237715861317173,Suspension,RPMI; 10% FBS,OCI-MY7,OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,,,17.5
2,ACH-000444,-1.4685695593134127,Adherent,RPMI; 10% FBS,LU99,LU99_LUNG,lung,lung_NSC,lung_large,43
1,ACH-000445,-1.0790783980212983,Adherent,DMEM; 5% FBS,KNS-60,KNS60_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,glioblastoma,28.8
2,ACH-000448,-1.4158489351458914,Mixed Adherent and Suspension,ACL4 (FBS free),NCI-H1666,NCIH1666_LUNG,lung,lung_NSC,lung_adenocarcinoma,5.8
2,ACH-000450,-1.0622576823515018,Adherent,RPMI-1640: 10%FBS,MEL-HO,MELHO_SKIN,skin,melanoma,,41.4
2,ACH-000452,-0.9678712826424832,Adherent,RPMI-1640: 10%FBS,TE-8,TE8_OESOPHAGUS,esophagus,esophagus_squamous,,28.5
2,ACH-000454,-1.5671667333115344,Adherent,RPMI; 10% FBS,HCC-95,HCC95_LUNG,lung,lung_NSC,lung_squamous,13.3
2,ACH-000458,-1.9487571793191019,Adherent,Hams F-12; 10% FBS,CJM,CJM_SKIN,skin,melanoma,,10.7
2,ACH-000459,-1.205587759825768,Adherent,RPMI-1640: 90.0%,TUHR10TKB,TUHR10TKB_KIDNEY,kidney,,,54.8
3,ACH-000460,-1.741016388731314,Adherent,RPMI; 10% FBS,SNU-8,SNU8_OVARY,ovary,ovary_adenocarcinoma,ovary_high_grade_serous,13.1
1,ACH-000461,-1.4348616164677306,Adherent,"RPMI1640 with L-glutamine (300mg/L), 25mM HEPES and 25mM NaHCO3, 90%; heat inactivated fetal bovine serum (FBS), 10%",SNU-1196,SNU1196_BILIARY_TRACT,bile_duct,cholangiocarcinoma,extrahepatic,17.1
2,ACH-000463,-1.7359175063266867,Adherent,RPMI; 10% FBS,NCI-H460,NCIH460_LUNG,lung,lung_NSC,lung_large,16.9
2,ACH-000464,-0.8856012520974085,Adherent,DMEM; 10% FBS,CAS-1,CAS1_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,glioblastoma,42.9
3,ACH-000467,-1.7198963430429268,Adherent,EMEM; 10% FBS,HCC-56,HCC56_LARGE_INTESTINE,colorectal,,,28.1
3,ACH-000468,-0.8855645132225405,Adherent,RPMI-1640: 10%FBS,PK-45H,PK45H_PANCREAS,pancreas,,,15.9
2,ACH-000469,-1.39255761744826,Adherent,EMEM: 80.0%; 20%FBS,YH-13,YH13_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,glioblastoma,48.2
3,ACH-000470,-1.1776986966014942,Adherent,RPMI-1640: 10%FBS,SW1463,SW1463_LARGE_INTESTINE,colorectal,,,21.4
2,ACH-000471,-1.116171774006119,Adherent,RPMI; 10% FBS,Li-7,LI7_LIVER,liver,,,6.9
2,ACH-000472,-0.9698094793649596,Adherent,EMEM; 10% FBS,HSC-2,HSC2_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,,17.1
2,ACH-000473,-1.1721084047062322,Adherent,RPMI; 10% FBS,RT-112,RT112_URINARY_TRACT,urinary_tract,,,32.2
2,ACH-000475,-1.6381913640876895,Adherent ,DMEM;10% FBS; ,huH-1,HUH1_LIVER,liver,,,3.9
2,ACH-000476,-1.5907486737860643,Adherent,EMEM; 10% FBS,JHH-4,JHH4_LIVER,liver,,,45.6
2,ACH-000477,-0.7543588480093498,Adherent,RPMI; 10% FBS,Malme-3M,MALME3M_SKIN,skin,melanoma,,53.4
2,ACH-000479,-1.2057439458005372,Adherent,DMEM; 5% FBS,KNS-81,KNS81_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,glioblastoma,60
2,ACH-000480,-1.2499431858232803,Adherent,DMEM; 10% FBS,HuH-7,HUH7_LIVER,liver,,,47.9
3,ACH-000481,-1.2041671130653444,Adherent,RPMI;10% FBS; ,NCI-H2170,NCIH2170_LUNG,lung,lung_NSC,lung_squamous,14.4
2,ACH-000483,-0.8018481997054061,Adherent,RPMI; 10% FBS,SNU-182,SNU182_LIVER,liver,,,36.6
1,ACH-000484,-0.9683093756418256,Adherent,EMEM; 10% FBS,VMRC-RCW,VMRCRCW_KIDNEY,kidney,,,8.7
2,ACH-000485,-1.547020022763684,Semi-adherent,RPMI-1640: 10%FBS,GSU,GSU_STOMACH,gastric,gastric_adenocarcinoma,,15.3
2,ACH-000486,-1.733219650606607,Adherent,RPMI; 10%heat inactive FBS,KU-19-19,KU1919_URINARY_TRACT,urinary_tract,,,33.3
2,ACH-000487,-2.1133734191530267,Suspension,RPMI; 20% FBS; 10 ng/ml GM-CSF,F-36P,F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,leukemia,AML,,17.7
2,ACH-000490,-1.6818446789945731,Adherent,DMEM; 10% FBS,SF767,SF767_CERVIX,cervix,,,8.2
3,ACH-000491,-1.8656364440453792,Semi-adherent,RPMI; 10% FBS,NCI-H716,NCIH716_LARGE_INTESTINE,colorectal,,,8
1,ACH-000495,-1.127239759455294,Adherent,DMEM;10% FBS; ,TUHR4TKB,TUHR4TKB_KIDNEY,kidney,,,22.8
4,ACH-000496,-1.0421250832512725,Adherent,RPMI; 10% FBS,NCI-H1792,NCIH1792_LUNG,lung,lung_NSC,lung_adenocarcinoma,14.3
2,ACH-000499,-1.2112680800011928,Adherent,DMEM; 10% FBS; 2mM L-glutamine,EW8,EW8_BONE,bone,Ewing_sarcoma,,43.2
3,ACH-000502,-1.517645141994969,Adherent,RPMI-1640: 10%FBS,TCC-PAN2,TCCPAN2_PANCREAS,pancreas,,,16.3
2,ACH-000503,-0.9579607368161642,Adherent,DMEM;10% FBS; ,BICR 16,BICR16_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,,26.3
2,ACH-000505,-0.9493041419242256,Adherent,HamsF12; 10% FBS,RKN,RKN_SOFT_TISSUE,soft_tissue,leiomyosarcoma,,17.8
2,ACH-000507,-1.7851752615291514,Adherent,RPMI-1640: 10%FBS,KE-39,KE39_STOMACH,gastric,gastric_adenocarcinoma,,30
2,ACH-000510,-1.1815714733216014,Adherent,RPMI; 10% FBS,NCI-H1299,NCIH1299_LUNG,lung,lung_NSC,lung_large,35.2
2,ACH-000511,-1.1686212119213182,Adherent,McCoy's 5A; 10% FBS,Calu-1,CALU1_LUNG,lung,lung_NSC,lung_squamous,21.3
1,ACH-000512,-1.7365944774747737,Suspension,RPMI; 20%FBS; 5 ng/mL IL-6,INA-6,INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,,,1.5
2,ACH-000516,-0.9473988659806494,Adherent,RPMI-1640: 80.0%,CAL-78,CAL78_BONE,bone,chondrosarcoma,,33.4
3,ACH-000517,-1.113201326259951,Adherent,RPMI-1640: 10%FBS,SNU-410,SNU410_PANCREAS,pancreas,,,18.6
2,ACH-000518,-0.9613344480200406,,DMEM;10% FBS; ,CAL-33,CAL33_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,,14.3
2,ACH-000520,-1.3050465119207508,Adherent,"DMEM; 10% FBS + 2 mM Glutamine, sodium pyruvate, ITS",59M,59M_OVARY,ovary,ovary_adenocarcinoma,ovary_high_grade_serous,5.7
3,ACH-000521,-1.2680515917314408,Adherent,RPMI; 10% FBS,NCI-H2030,NCIH2030_LUNG,lung,lung_NSC,lung_adenocarcinoma,14.2
2,ACH-000522,-1.4168472851424438,Adherent,EMEM; 10% FBS,UM-UC-3,UMUC3_URINARY_TRACT,urinary_tract,,,11.7
3,ACH-000524,-1.0769681176855337,Adherent,RPMI; 10% FBS,KURAMOCHI,KURAMOCHI_OVARY,ovary,ovary_adenocarcinoma,ovary_high_grade_serous,47.9
3,ACH-000527,-1.4879140364967267,Adherent,RPMI; 10% FBS,OVISE,OVISE_OVARY,ovary,ovary_adenocarcinoma,ovary_clear_cell,31.8
3,ACH-000528,-1.965315616242422,Adherent,EMEM; 10% FBS,ABC-1,ABC1_LUNG,lung,lung_NSC,lung_adenocarcinoma,22.5
1,ACH-000537,-1.3397856278722582,Adherent,RPMI; 10% FBS,SNU-761,SNU761_LIVER,liver,,,10.9
1,ACH-000541,-2.052286872857032,Suspension,RPMI; 10% FBS,KMS-34,KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,,,2.6
3,ACH-000542,-1.7167419639251815,Adherent,RPMI; 10% FBS,Hey-A8,HEYA8_OVARY,ovary,ovary_adenocarcinoma,ovary_low_grade_serous,7.1
2,ACH-000544,-1.735824892510902,Adherent,RPMI-1640: 90.0%,OE21,OE21_OESOPHAGUS,esophagus,esophagus_squamous,,15.4
2,ACH-000545,-1.5984080281264197,Adherent,DMEM: 90.0%; 10%FBS,VM-CUB1,VMCUB1_URINARY_TRACT,urinary_tract,,,32.8
2,ACH-000547,-1.0988582899522403,Adherent,EMEM; 10% FBS,HT-1197,HT1197_URINARY_TRACT,urinary_tract,,,28
2,ACH-000548,-1.2313031156571703,Adherent,DMEM;10% FBS; ,BHY,BHY_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,,8.8
2,ACH-000549,-1.844616036459108,,"RPMI1640 with L-glutamine (300mg/L), 25mM HEPES and 25mM NaHCO3, 90%; heat inactivated fetal bovine serum (FBS), 10%",SNU-1076,SNU1076_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,,15
2,ACH-000550,-0.9252781768401828,Adherent,DMEM; 15% FBS,IGR-39,IGR39_SKIN,skin,melanoma,,28.9
2,ACH-000552,-1.8995208486742945,Adherent,McCoy's 5A; 10% FBS,HT-29,HT29_LARGE_INTESTINE,colorectal,,,14.8
2,ACH-000556,-1.571571607527039,Adherent,EMEM; 10% FBS,SIHA,SIHA_CERVIX,cervix,,,9.5
2,ACH-000569,-1.5942408543206088,Adherent,DMEM: 90.0%; 2mMGlutamax-1,IST-MES1,ISTMES1_PLEURA,mesothelioma,,,20
2,ACH-000570,-1.3356069150406369,Adherent,DMEM; 10% FBS,YKG1,YKG1_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,glioblastoma,21.1
2,ACH-000571,-0.792765884421979,Adherent,EMEM; 10% FBS,T98G,T98G_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,glioblastoma,20.4
3,ACH-000573,-1.1290366381150292,Semi-adherent,RPMI; 10% FBS; 16ug/ml glutathione,MDA-MB-436,MDAMB436_BREAST,breast,TNBC,,47.3
2,ACH-000576,-1.9054728564578065,Suspension,RPMI; 10% FBS,KMS-27,KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,,,11
1,ACH-000579,-1.4052336415297295,Adherent,RPMI-1640; 10%FBS,UACC-257,UACC257_SKIN,skin,melanoma,,18.7
2,ACH-000580,-1.0627701023126126,Adherent,EMEM; 10% FBS; 0.1mM NEAA,C32,C32_SKIN,skin,melanoma,,33.9
3,ACH-000584,-1.24448151393493,Adherent,DMEM:F12 (1:1); 10% FBS,JHOS-4,JHOS4_OVARY,ovary,ovary_adenocarcinoma,ovary_high_grade_serous,27.1
3,ACH-000585,-1.0818129535747083,Adherent,RPMI; 20% FBS,EPLC-272H,EPLC272H_LUNG,lung,lung_NSC,lung_squamous,14.2
2,ACH-000588,-1.5466694218370984,Suspension,RPMI; 10% FBS,KMS-26,KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,,,23.9
3,ACH-000589,-1.9066943186518541,Adherent,RPMI; 10% FBS,NCI-H1437,NCIH1437_LUNG,lung,lung_NSC,lung_adenocarcinoma,9.2
2,ACH-000591,-1.038488661247895,Adherent,DMEM; 10% FBS,LN-235,LN235_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,astrocytoma,12.7
2,ACH-000593,-1.3558517734500564,Adherent,M10,BC-3C,BC3C_URINARY_TRACT,urinary_tract,,,4.9
2,ACH-000600,-1.3440293793688989,Adherent,RPMI; 10% FBS,SLR 26,SLR26_KIDNEY,kidney,,,16.6
4,ACH-000601,-2.4585038093754386,Adherent,DMEM; 10% FBS,MIA PaCa-2,MIAPACA2_PANCREAS,pancreas,,,11.7
2,ACH-000605,-1.11096857633109,Adherent,RPMI; 10% FBS,TE-6,TE6_OESOPHAGUS,esophagus,esophagus_squamous,,40
2,ACH-000606,-2.1484141562005847,Adherent,IMDM; 10% FBS;2mM Glutamine,PE/CA-PJ34 (clone C12),PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,,19.8
3,ACH-000608,-0.8963016025963113,Adherent,DMEM; 10% FBS; 2mM L-glutamine,COV644,COV644_OVARY,ovary,ovary_adenocarcinoma,ovary_mucinous,11.5
2,ACH-000614,-1.0169612311341425,Adherent,RPMI-1640; 10%FBS,RVH-421,RVH421_SKIN,skin,melanoma,,48.2
2,ACH-000618,-1.2509470086367052,Adherent,"90% RPMI1640 with L-glutamine (300mg/L), 25mM HEPES and 25mM NaHCO3 + 10% h.i. FBS",SNU-1041,SNU1041_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,,55.7
2,ACH-000619,-1.6313350569509235,,IMDM; 10% FBS;2mM Glutamine,PE/CA-PJ15,PECAPJ15_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,,18.4
2,ACH-000620,-1.462880978218844,Adherent,William's E Medium; 10%FBS,JHH-1,JHH1_LIVER,liver,,,37.3
3,ACH-000621,-0.9595820008163772,Adherent,RPMI; 10% FBS,MDA-MB-157,MDAMB157_BREAST,breast,TNBC,,8
2,ACH-000622,-0.914336726908516,Adherent,EMEM; 5% FBS,KNS-42,KNS42_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,glioblastoma,38.1
2,ACH-000623,-1.0225304187923698,Adherent,RPMI; 10% FBS,SNU-201,SNU201_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,glioblastoma,22.7
3,ACH-000624,-1.5023789467099802,Adherent,RPMI; 10% FBS,HCC1806,HCC1806_BREAST,breast,TNBC,,2.6
2,ACH-000627,-1.2911293484010669,Adherent,RPMI;10% FBS; ,LCLC-103H,LCLC103H_LUNG,lung,lung_NSC,lung_large,6.4
2,ACH-000630,-1.5932188459323329,Adherent,RPMI-1640: 90.0%;10%FBS,YD-8,YD8_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,,34.4
2,ACH-000631,-1.1105300843014934,Adherent,Minimum Essential Media (MEM): 90.0%; 2mMGlutamax-1,KS-1,KS1_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,astrocytoma,49.6
2,ACH-000632,-1.3104141188831302,Adherent,DMEM; 10% FBS,Hs 944.T,HS944T_SKIN,skin,melanoma,,11.3
2,ACH-000633,-1.549835405285621,Adherent,DMEM;10% FBS; Human Insulin: 0.01 mg/mL,FU97,FU97_STOMACH,gastric,gastric_adenocarcinoma,diffuse_gastric,31.2
4,ACH-000638,-2.2273135415265606,Adherent,RPMI; 10% FBS,NCI-H441,NCIH441_LUNG,lung,lung_NSC,lung_adenocarcinoma,19
2,ACH-000646,-1.020022655115224,Adherent,RPMI; 10% FBS,OVMANA,OVMANA_OVARY,ovary,ovary_adenocarcinoma,ovary_clear_cell,50.5
2,ACH-000647,-1.350841115540897,Adherent,RPMI-1640: 10%FBS,TE-1,TE1_OESOPHAGUS,esophagus,esophagus_squamous,,8.5
2,ACH-000648,-1.005490153814772,Adherent,RPMI-1640: 90.0%,NCI-H28,NCIH28_PLEURA,mesothelioma,,,58
3,ACH-000649,-1.3456977695606025,Adherent,RPMI; 10% FBS,786-O,786O_KIDNEY,kidney,,,36.5
3,ACH-000651,-2.173701403781448,Semi-adherent,Leibovitz's L-15; 10%FBS,SW 620,SW620_LARGE_INTESTINE,colorectal,,,7.3
2,ACH-000652,-1.2175803992689302,Adherent,"RPMI-1640: 90.0%,10%FBS",SUIT-2,SUIT2_PANCREAS,pancreas,,,24.6
2,ACH-000653,-1.6157485841939538,Suspension,DMEM:IMDM (1:1); 20% FBS,JJN-3,JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,,,2.4
2,ACH-000657,-2.4719624104413858,Adherent,RPMI; 10% FBS,A2780,A2780_OVARY,ovary,ovary_adenocarcinoma,ovary_endometrioid,16.7
2,ACH-000658,-1.2696132754379097,Suspension,RPMI; 10% FBS,KMS-18,KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,,,9.5
2,ACH-000661,-0.9925790121188328,Adherent,RPMI-1640: 10%FBS,WM1799,WM1799_SKIN,skin,melanoma,,30.8
1,ACH-000662,-1.308986764427308,Adherent,RPMI; 10% FBS; 2mM glutamine,"COR-L23, COR-L23/CPR",CORL23_LUNG,lung,lung_NSC,lung_large,34.9
2,ACH-000663,-0.9792920640872854,Adherent,RPMI;10% FBS; ,OVTOKO,OVTOKO_OVARY,ovary,ovary_adenocarcinoma,ovary_clear_cell,42.9
2,ACH-000665,-1.312398174742959,Adherent,DMEM; 10% FBS,SK-MES-1,SKMES1_LUNG,lung,lung_NSC,lung_squamous,11.3
2,ACH-000671,-1.2750485644094216,Adherent,DMEM; 10% FBS,HuH-6,HUH6_LIVER,liver,hepatoblastoma,,14.8
2,ACH-000673,-1.119723892719218,Adherent,DMEM; 10% FBS,LN-443,LN443_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,glioblastoma,no data in flow data 
2,ACH-000676,-1.4686022484121493,Adherent,DMEM; 10% FBS,LN-464,LN464_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,glioblastoma,no data in flow data 
2,ACH-000677,-1.1185449972141108,Adherent,Leibovitz's L-15; 10%FBS,SW 1573,SW1573_LUNG,lung,lung_NSC,lung_squamous,10.8
4,ACH-000681,-1.9387884858666908,Adherent,DMEM; 10% FBS,A549,A549_LUNG,lung,lung_NSC,lung_adenocarcinoma,17.2
3,ACH-000683,-1.0942956548760168,Adherent,RPMI;10% FBS; ,SNU-503,SNU503_LARGE_INTESTINE,colorectal,,,22.8
3,ACH-000684,-1.6468801085271862,Adherent,DMEM;10% FBS; ,KMRC-1,KMRC1_KIDNEY,kidney,,,21.6
2,ACH-000688,-0.7896598452945998,Adherent,DMEM:F12 (1:1); 5% FBS; 2mM L-glutamine; 0.5ug/ml hydrocortisone; 10ug/ml insulin,OV7,OV7_OVARY,ovary,ovary_adenocarcinoma,ovary_clear_cell,12.7
2,ACH-000693,-1.792538461238934,Adherent,RPMI; 10% FBS,KYSE-180,KYSE180_OESOPHAGUS,esophagus,esophagus_squamous,,32.1
1,ACH-000695,-1.3084692733856973,Suspension,RPMI-1640: 10%FBS; 2mMGlutamax-1,COR-L47,CORL47_LUNG,lung,lung_small,,39.7
3,ACH-000696,-2.158543349702549,Adherent,RPMI; 10% FBS,OVCAR-8,OVCAR8_OVARY,ovary,ovary_adenocarcinoma,ovary_high_grade_serous,39.8
2,ACH-000697,-1.7505863866095936,Suspension,RPMI;10% FBS; ,A3/KAW,A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphoma,DLBCL,,28.2
3,ACH-000699,-0.9783601915300479,Adherent,RPMI; 10% FBS,HCC1395,HCC1395_BREAST,breast,TNBC,,52.6
2,ACH-000701,-0.9424419169090884,Adherent,HamsF12; 10% FBS,RMUG-S,RMUGS_OVARY,ovary,ovary_adenocarcinoma,ovary_mucinous,35.3
2,ACH-000706,-1.3987719512208403,Adherent,RPMI-1640: 90.0%,EKVX,EKVX_LUNG,lung,lung_NSC,lung_adenocarcinoma,17.7
3,ACH-000711,-1.8690755389155125,Adherent,RPMI; 10% FBS,JIMT-1,JIMT1_BREAST,breast,HER2Amp,,4.5
3,ACH-000713,-2.0117046398080656,Adherent,DMEM; 10% FBS,Caov-3,CAOV3_OVARY,ovary,ovary_adenocarcinoma,ovary_high_grade_serous,22.6
1,ACH-000714,-1.8854375250230089,Suspension,RPMI; 10% FBS,KMS-11,KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,,,3.9
3,ACH-000718,-1.1533762551940614,Adherent,RPMI; 10% FBS,NCI-H2291,NCIH2291_LUNG,lung,lung_NSC,lung_adenocarcinoma,29.7
2,ACH-000720,-1.4875005056056163,Adherent,EMEM; 10% FBS; 1mM NEAA; 1mM Sodium Pyruvate,TCCSUP,TCCSUP_URINARY_TRACT,urinary_tract,,,19.1
2,ACH-000721,-1.620331350874482,Adherent,RPMI-1640: 10%FBS,HMC-1-8,HMC18_BREAST,breast,,,3.4
2,ACH-000724,-0.6774277274223924,Adherent,EMEM; 10% FBS,HT-1376,HT1376_URINARY_TRACT,urinary_tract,,,48.6
2,ACH-000725,-1.1831619807357658,Adherent,RPMI; 10% FBS,HCC202,HCC202_BREAST,breast,HER2Amp,,16.8
2,ACH-000732,-1.6279287973862957,Adherent,"Iscove (IMDM): 90.0%, GLUTAMAX",PE/CA-PJ41 (clone D2),PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,,14
3,ACH-000734,-1.5458075667255768,Adherent,William's E Medium: 90.0%,JHH-5,JHH5_LIVER,liver,,,25.1
2,ACH-000736,-2.2013286804830985,Adherent,RPMI-1640; 10%FBS,SNU-601,SNU601_STOMACH,gastric,gastric_adenocarcinoma,,7.7
2,ACH-000738,-1.8333836479042316,Adherent,EMEM; 10% FBS,GB-1,GB1_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,glioblastoma,11
2,ACH-000746,-1.5105005632493862,Suspension,RPMI-1640; 10%FBS,GSS,GSS_STOMACH,gastric,gastric_adenocarcinoma,,12.1
2,ACH-000747,-2.1482833872262783,Adherent,RPMI-1640: 10% FBS,NCI-H1703,NCIH1703_LUNG,lung,lung_NSC,lung_adenocarcinoma,9
1,ACH-000748,-1.3062821337671475,Adherent,RPMI; 10% FBS,SJSA-1,SJSA1_BONE,bone,osteosarcoma,,44.7
2,ACH-000753,-1.2976556253005271,Adherent,RPMI-1640: 10%FBS; 2mMGlutamax-1,JMSU-1,JMSU1_URINARY_TRACT,urinary_tract,,,55
1,ACH-000756,-1.3791717933857734,Adherent,DMEM: 90.0%,GI-1,GI1_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,,4.1
3,ACH-000757,-1.4669832474594704,Adherent,DMEM with 10%FBS,A427,A427_LUNG,lung,lung_NSC,lung_adenocarcinoma,33.7
2,ACH-000758,-1.8863881512294127,Adherent,"RPMI-1640: 90.0%,10%FBS",MKN74,MKN74_STOMACH,gastric,gastric_adenocarcinoma,,7.3
2,ACH-000760,-1.5671192674137748,Adherent,DMEM; 10% FBS,LNZ308,LNZ308_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,glioblastoma,10.2
2,ACH-000762,-1.3580413043764141,Adherent,RPMI-1640; 10%FBS,YD-38,YD38_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,,16.1
2,ACH-000763,-1.156996963450185,Semi-adherent,RPMI; 10% FBS,MM1-S,MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,,,6.9
2,ACH-000764,-0.9380156099880422,Adherent,RPMI-1640: 10%FBS,SH-10-TC,SH10TC_STOMACH,gastric,gastric_adenocarcinoma,,29.1
2,ACH-000765,-1.2209987868859509,Adherent,RPMI-1640: 10%FBS,WM-983B,WM983B_SKIN,skin,melanoma,,13.1
4,ACH-000766,-1.490472780752348,Adherent,RPMI; 10% FBS,NCI-H1648,NCIH1648_LUNG,lung,lung_NSC,lung_adenocarcinoma,12.1
2,ACH-000767,-1.554989641347212,Suspension,RPMI; 10% FBS,NCI-H526,NCIH526_LUNG,lung,lung_small,,22.4
2,ACH-000768,-2.014465734320636,Adherent,RPMI; 10% FBS,MDA-MB-231,MDAMB231_BREAST,breast,TNBC,,9
3,ACH-000769,-1.6937160911864275,Adherent,DMEM; 10% FBS;,LK-2,LK2_LUNG,lung,lung_NSC,lung_squamous,18.5
3,ACH-000770,-2.117991543380815,Suspension,RPMI;10% FBS; ,P31/FUJ,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,leukemia,AML,,12.4
